Player_Name,Team,Pos
Ross Colton,TB,LW
Trevor Moore,LA,LW
Nathan Bastian,NJ,RW
Ilya Mikheyev,TOR,RW
Brandon Tanev,SEA,LW
Evan Bouchard,EDM,D
Noah Dobson,NYI,D
Vasili Podkolzin,VAN,RW
Jacob Peterson,DAL,LW
Rasmus Dahlin,BUF,D
Eetu Luostarinen,FLA,LW
Nico Sturm,MIN,C
Kirby Dach,CHI,C
Alexander Barabanov,SJ,RW
Brett Howden,VGK,C
Martin Necas,CAR,C
Michael Rasmussen,DET,C
David Kampf,TOR,RW
Nils Hoglander,VAN,LW
Philip Tomasino,NSH,C
Matthew Boldy,MIN,LW
Cole Sillinger,CLS,C
Seth Jarvis,CAR,RW
Anthony Beauvillier,NYI,LW
Travis Konecny,PHI,C
Daniel Sprong,WAS,RW
Nicolas Roy,VGK,C
Mathieu Joseph,TB,RW
Derek Ryan,EDM,C
Frank Vatrano,FLA,LW
Zach Werenski,CLS,D
Denis Gurianov,DAL,RW
Victor Olofsson,BUF,LW
Brendan Lemieux,LA,LW
Oskar Lindblom,PHI,LW
Sean Monahan,CGY,C
Vinnie Hinostroza,BUF,RW
Teddy Blueger,PIT,C
Alex Kerfoot,TOR,C
Shea Theodore,VGK,D
Derek Grant,ANH,C
Dougie Hamilton,NJ,D
Mark Stone,VGK,RW
Mikael Granlund,NSH,C
Sean Kuraly,CLS,C
Jacob Trouba,NYR,D
Luke Glendening,DAL,C
Mikael Backlund,CGY,C
Lars Eller,WAS,C
Erik Karlsson,SJ,D
Drew Doughty,LA,D
Alex Pietrangelo,VGK,D
Patric Hornqvist,FLA,RW
Kevin Shattenkirk,ANH,D
Zach Parise,NYI,LW
Blake Wheeler,WPG,RW
Zemgus Girgensons,BUF,C
Mike Matheson,PIT,D
Brady Skjei,CAR,D
Adam Lowry,WPG,LW
William Karlsson,VGK,C
Derek Stepan,CAR,C
Justin Faulk,STL,D
Ryan Nugent-Hopkins,EDM,LW
Dmitry Orlov,WAS,D
Mattias Janmark,VGK,C
Nic Dowd,WAS,C
Alex Tuch,BUF,RW
Connor Brown,OTT,RW
Jimmy Vesey,NJ,LW
Damon Severson,NJ,D
Erik Haula,BOS,C
Christian Dvorak,MON,LW
Nicolas Aube-Kubel,COL,C
Warren Foegele,EDM,LW
Frederick Gaudreau,MIN,C
Jake Evans,MON,LW
Vince Dunn,SEA,D
Connor McMichael,WAS,C
Cole Caufield,MON,RW
Charlie McAvoy,BOS,D
Carl Grundstrom,LA,LW
Adam Fox,NYR,D
Blake Lizotte,LA,LW
Filip Zadina,DET,RW
Robert Thomas,STL,C
Eeli Tolvanen,NSH,LW
Zach Whitecloud,VGK,D
Eric Robinson,CLS,LW
Logan O'Connor,COL,C
Sam Steel,ANH,C
Kevin Rooney,NYR,C
Tyson Jost,COL,C
Michael McLeod,NJ,C
Gerald Mayhew,PHI,C
Owen Tippett,FLA,RW
Dillon Dube,CGY,C
Brandon Duhaime,MIN,LW
Yegor Chinakhov,CLS,RW
Oliver Kylington,CGY,D
Evgeny Svechnikov,WPG,LW
Keegan Kolesar,VGK,RW
Rudolfs Balcers,SJ,LW
Steven Lorentz,CAR,C
Juho Lammikko,VAN,RW
Michael Raffl,DAL,LW
Darnell Nurse,EDM,D
Josh Morrissey,WPG,D
Jonathan Drouin,MON,C
Curtis Lazar,BOS,C
Chris Tierney,OTT,C
Colton Parayko,STL,D
Pierre-Edouard Bellemare,TB,C
MacKenzie Weegar,FLA,D
Carson Soucy,SEA,D
Tyler Motte,VAN,C
William Carrier,VGK,LW
Sean Couturier,PHI,C
Johan Larsson,ARI,C
Jason Zucker,PIT,LW
Cam Fowler,ANH,D
Jaden Schwartz,SEA,LW
Craig Smith,BOS,RW
Nick Cousins,NSH,C
Colin Blackwell,SEA,C
Morgan Rielly,TOR,D
Torey Krug,STL,D
Brian Boyle,PIT,C
T.J. Oshie,WAS,RW
Erik Johnson,COL,D
Jordan Staal,CAR,C
Dustin Brown,LA,RW
Andrew Ladd,ARI,LW
Mark Giordano,SEA,D
Sam Gagner,DET,C
Kris Letang,PIT,D
Phil Kessel,ARI,RW
Tyler Ennis,OTT,LW
Marcus Johansson,SEA,LW
Kyle Palmieri,NYI,RW
Casey Cizikas,NYI,C
Nick Bonino,SJ,C
Ben Chiarot,MON,D
Zack Kassian,EDM,RW
Evander Kane,EDM,LW
Cal Clutterbuck,NYI,RW
Ryan Suter,DAL,D
Brent Burns,SJ,D
