Player_Name,Team,Pos
Justin Bailey,VAN,RW
Madison Bowey,VAN,D
Remi Elie,TB,LW
Michael Dal Colle,NYI,LW
Tyler Lewington,BOS,D
Jonny Brodzinski,NYR,RW
Josh Brown,OTT,D
Brad Malone,EDM,C
Mark Borowiecki,NSH,D
Nathan Beaulieu,WPG,D
Sven Baertschi,VGK,LW
Stefan Noesen,CAR,C
Tyler Pitlick,MON,C
Brett Connolly,CHI,RW
Matthew Peca,STL,C
Max McCormick,SEA,LW
Fredrik Claesson,TB,D
Kyle Rau,MIN,C
Steven Fogarty,BOS,C
Dmitrij Jaskin,ARI,RW
Scott Harrington,CLS,D
Rocco Grimaldi,NSH,C
Brett Ritchie,CGY,RW
T.J. Tynan,LA,C
Matt Tennyson,NSH,D
Brad Hunt,VAN,D
Leo Komarov,FA,LW
Ryan Murray,COL,D
Stefan Matteau,COL,RW
Slater Koekkoek,EDM,D
Zdeno Chara,NYI,D
Marc-Edouard Vlasic,SJ,D
Thomas Hickey,NYI,D
Riley Nash,ARI,C
Kris Russell,EDM,D
Andrej Sekera,DAL,D
Michael Stone,CGY,D
Alec Martinez,VGK,D
Matt Irwin,WAS,D
Kevin Connauton,PHI,D
Andrew Agozzino,OTT,LW
Alex Biega,TOR,D
John Moore,BOS,D
Kyle Clifford,TOR,LW
Richard Panik,NYI,RW
Zac Dalpe,FLA,C
